venue,innings,batting_team,bowling_team,tot,wickets
Arun Jaitley Stadium,2,Delhi Daredevils,Punjab Kings,28,1
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,36,3
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,36,0
Wankhede Stadium,1,Mumbai Indians,Gujarat Lions,31,2
Wankhede Stadium,2,Gujarat Lions,Mumbai Indians,42,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Rising Pune Supergiants,Punjab Kings,45,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Punjab Kings,Rising Pune Supergiants,50,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,63,1
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,51,2
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,40,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,32,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,41,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,65,0
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,49,1
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,47,1
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,50,1
Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,63,0
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiants,44,1
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiants,Royal Challengers Bangalore,36,3
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,40,1
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,52,1
"Rajiv Gandhi International Stadium, Uppal",1,Punjab Kings,Sunrisers Hyderabad,35,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Punjab Kings,65,0
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,50,1
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,68,1
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Kolkata Knight Riders,31,1
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiants,59,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Mumbai Indians,Punjab Kings,39,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Punjab Kings,Mumbai Indians,40,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiants,27,3
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiants,Sunrisers Hyderabad,46,1
Arun Jaitley Stadium,1,Gujarat Lions,Delhi Daredevils,71,0
Arun Jaitley Stadium,2,Delhi Daredevils,Gujarat Lions,22,3
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,59,0
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,64,1
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,48,1
Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,72,0
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,37,3
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,43,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,49,1
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,45,1
Saurashtra Cricket Association Stadium,1,Punjab Kings,Gujarat Lions,59,0
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Punjab Kings,36,2
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Mumbai Indians,54,1
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiants,47,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40,1
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,37,2
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Daredevils,35,3
Saurashtra Cricket Association Stadium,2,Delhi Daredevils,Gujarat Lions,61,0
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,40,0
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,37,3
Arun Jaitley Stadium,1,Delhi Daredevils,Rising Pune Supergiants,48,2
Arun Jaitley Stadium,2,Rising Pune Supergiants,Delhi Daredevils,50,0
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,26,3
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,38,2
M Chinnaswamy Stadium,1,Rising Pune Supergiants,Royal Challengers Bangalore,60,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiants,46,0
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Punjab Kings,Delhi Daredevils,45,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Delhi Daredevils,Punjab Kings,51,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,32,5
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,28,4
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,46,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Royal Challengers Bangalore,Punjab Kings,56,0
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Punjab Kings,Royal Challengers Bangalore,50,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiants,34,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Sunrisers Hyderabad,25,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,25,2
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39,1
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,51,0
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,49,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Punjab Kings,21,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Punjab Kings,Mumbai Indians,31,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,42,1
M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,40,2
Eden Gardens,1,Rising Pune Supergiants,Kolkata Knight Riders,37,2
Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiants,66,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Punjab Kings,Sunrisers Hyderabad,47,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Sunrisers Hyderabad,Punjab Kings,55,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,45,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,49,2
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,51,1
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,63,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Rising Pune Supergiants,28,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Delhi Daredevils,40,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,63,0
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,57,4
Green Park,1,Kolkata Knight Riders,Gujarat Lions,40,2
Green Park,2,Gujarat Lions,Kolkata Knight Riders,54,3
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,46,1
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,37,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Punjab Kings,Rising Pune Supergiants,52,0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Punjab Kings,44,1
Green Park,1,Mumbai Indians,Gujarat Lions,49,3
Green Park,2,Gujarat Lions,Mumbai Indians,70,1
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,48,2
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,48,1
Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,43,2
Shaheed Veer Narayan Singh International Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,49,2
M Chinnaswamy Stadium,1,Gujarat Lions,Royal Challengers Bangalore,23,3
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Gujarat Lions,31,5
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,42,1
Arun Jaitley Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,46,1
Arun Jaitley Stadium,1,Gujarat Lions,Sunrisers Hyderabad,38,2
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Gujarat Lions,46,2
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,53,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,59,0
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,59,1
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,54,1
Maharashtra Cricket Association Stadium,1,Mumbai Indians,Rising Pune Supergiant,61,1
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Mumbai Indians,59,1
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Kolkata Knight Riders,52,1
Saurashtra Cricket Association Stadium,2,Kolkata Knight Riders,Gujarat Lions,73,0
Holkar Cricket Stadium,1,Rising Pune Supergiant,Punjab Kings,35,1
Holkar Cricket Stadium,2,Punjab Kings,Rising Pune Supergiant,56,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41,2
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,43,2
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,40,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,59,1
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,56,2
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,48,0
Holkar Cricket Stadium,1,Royal Challengers Bangalore,Punjab Kings,23,3
Holkar Cricket Stadium,2,Punjab Kings,Royal Challengers Bangalore,62,1
Maharashtra Cricket Association Stadium,1,Delhi Daredevils,Rising Pune Supergiant,61,1
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Delhi Daredevils,49,3
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,34,0
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,61,2
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,57,1
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,76,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,41,0
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,21,4
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiant,Gujarat Lions,64,2
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiant,61,0
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,40,2
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,45,0
Arun Jaitley Stadium,1,Delhi Daredevils,Punjab Kings,49,0
Arun Jaitley Stadium,2,Punjab Kings,Delhi Daredevils,40,3
Wankhede Stadium,1,Gujarat Lions,Mumbai Indians,46,1
Wankhede Stadium,2,Mumbai Indians,Gujarat Lions,56,1
M Chinnaswamy Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,54,0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,42,2
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,53,0
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,49,3
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,29,1
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,47,2
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,45,0
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,57,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,39,1
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,56,1
Holkar Cricket Stadium,1,Punjab Kings,Mumbai Indians,46,1
Holkar Cricket Stadium,2,Mumbai Indians,Punjab Kings,81,1
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,65,1
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,72,1
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,48,2
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,22,5
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiant,45,0
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Sunrisers Hyderabad,55,1
Saurashtra Cricket Association Stadium,1,Punjab Kings,Gujarat Lions,50,1
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Punjab Kings,50,2
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,65,2
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,39,4
Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,48,0
Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,44,1
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Kolkata Knight Riders,57,0
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiant,45,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,35,3
M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,49,2
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,53,1
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,47,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Sunrisers Hyderabad,Punjab Kings,60,0
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Punjab Kings,Sunrisers Hyderabad,59,3
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,43,1
Maharashtra Cricket Association Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,39,2
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Mumbai Indians,48,3
Saurashtra Cricket Association Stadium,2,Mumbai Indians,Gujarat Lions,61,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Delhi Daredevils,Punjab Kings,25,3
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Punjab Kings,Delhi Daredevils,49,0
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,78,0
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,44,2
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,52,2
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,55,1
Maharashtra Cricket Association Stadium,1,Gujarat Lions,Rising Pune Supergiant,55,1
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Gujarat Lions,43,4
Arun Jaitley Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,66,1
Arun Jaitley Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,62,1
Eden Gardens,1,Kolkata Knight Riders,Rising Pune Supergiant,41,3
Eden Gardens,2,Rising Pune Supergiant,Kolkata Knight Riders,70,2
Arun Jaitley Stadium,1,Gujarat Lions,Delhi Daredevils,58,2
Arun Jaitley Stadium,2,Delhi Daredevils,Gujarat Lions,63,1
M Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,35,2
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,46,3
"Rajiv Gandhi International Stadium, Uppal",1,Rising Pune Supergiant,Sunrisers Hyderabad,34,1
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Rising Pune Supergiant,47,2
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Daredevils,56,0
Arun Jaitley Stadium,2,Delhi Daredevils,Mumbai Indians,35,5
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40,3
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,105,0
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Punjab Kings,Gujarat Lions,44,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Punjab Kings,58,0
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,36,2
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,43,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,41,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,61,1
Green Park,1,Gujarat Lions,Delhi Daredevils,50,2
Green Park,2,Delhi Daredevils,Gujarat Lions,64,2
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,71,1
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,68,0
Arun Jaitley Stadium,1,Delhi Daredevils,Rising Pune Supergiant,54,2
Arun Jaitley Stadium,2,Rising Pune Supergiant,Delhi Daredevils,52,2
Green Park,1,Gujarat Lions,Sunrisers Hyderabad,61,0
Green Park,2,Sunrisers Hyderabad,Gujarat Lions,47,2
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,51,1
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,53,3
Maharashtra Cricket Association Stadium,1,Punjab Kings,Rising Pune Supergiant,32,4
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Punjab Kings,43,1
Arun Jaitley Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,37,1
Arun Jaitley Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,42,2
Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,33,2
Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,42,3
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,30,1
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,48,3
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Mumbai Indians,25,3
M Chinnaswamy Stadium,2,Mumbai Indians,Kolkata Knight Riders,36,3
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Rising Pune Supergiant,32,2
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiant,Mumbai Indians,38,1
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,39,2
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,42,2
Punjab Cricket Association IS Bindra Stadium,1,Delhi Daredevils,Punjab Kings,45,1
Punjab Cricket Association IS Bindra Stadium,2,Punjab Kings,Delhi Daredevils,73,2
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,52,1
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,67,2
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,48,1
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,53,1
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,64,2
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,75,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,51,2
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,60,4
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,54,3
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56,0
M Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,50,3
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,41,2
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,84,0
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,53,1
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,49,1
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,46,2
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,62,1
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Chennai Super Kings,75,0
Punjab Cricket Association IS Bindra Stadium,2,Chennai Super Kings,Punjab Kings,53,2
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50,1
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,56,3
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,60,2
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55,2
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,48,0
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,53,1
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Sunrisers Hyderabad,49,0
Punjab Cricket Association IS Bindra Stadium,2,Sunrisers Hyderabad,Punjab Kings,40,3
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,69,1
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,35,3
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,49,1
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,73,0
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,28,2
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,43,2
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,27,1
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40,3
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,43,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,43,2
Arun Jaitley Stadium,1,Punjab Kings,Delhi Daredevils,51,2
Arun Jaitley Stadium,2,Delhi Daredevils,Punjab Kings,48,3
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51,4
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,22,3
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,52,1
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,55,2
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Punjab Kings,37,3
Rajiv Gandhi International Stadium,2,Punjab Kings,Sunrisers Hyderabad,44,0
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,57,0
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,51,4
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,51,1
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,50,0
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,39,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43,1
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40,0
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,51,0
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Daredevils,56,0
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Chennai Super Kings,59,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,43,1
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,40,3
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,62,1
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,79,0
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,57,1
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,56,2
Holkar Cricket Stadium,1,Punjab Kings,Mumbai Indians,49,0
Holkar Cricket Stadium,2,Mumbai Indians,Punjab Kings,39,1
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,47,1
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,42,1
Rajiv Gandhi International Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,60,1
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,55,0
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,56,0
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,47,2
Holkar Cricket Stadium,1,Rajasthan Royals,Punjab Kings,45,2
Holkar Cricket Stadium,2,Punjab Kings,Rajasthan Royals,34,2
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,38,2
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,55,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Punjab Kings,63,1
Sawai Mansingh Stadium,2,Punjab Kings,Rajasthan Royals,33,3
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,47,1
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,47,2
Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,38,2
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,51,1
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,55,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,57,2
Holkar Cricket Stadium,1,Kolkata Knight Riders,Punjab Kings,59,1
Holkar Cricket Stadium,2,Punjab Kings,Kolkata Knight Riders,58,2
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,44,2
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,58,2
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,28,1
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,53,0
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,51,0
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,51,1
Holkar Cricket Stadium,1,Punjab Kings,Royal Challengers Bangalore,47,3
Holkar Cricket Stadium,2,Royal Challengers Bangalore,Punjab Kings,66,0
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,68,1
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,50,2
Wankhede Stadium,1,Mumbai Indians,Punjab Kings,60,3
